Expression,"Familiarity (1 = low, 5 = high)",Familiarity SD,"Meaningfulness (1 = low, 5 = high)",Meaningfulness SD,"Literal Plausibility (1 = low, 5 = high)",Literal Plausibility SD,"Verb Relatedness (1 = low, 5 = high)",Verb Relatedness SD,"Noun Relatedness (1 = low, 5 = high)",Noun Relatedness SD,Global Decomposability Proportion,Normal Decomposability Proportion,Predictability of final word
He tore his hair,2.6,1.33,3.27,1.6,3.6,1.33,2.27,1.05,1.43,0.97,0.4,0.5,0
She trimmed her sails,2.03,1,2.27,1.28,3.23,1.25,1.77,0.9,1.17,0.53,0.12,0.2,0
It turned her stomach,4.07,1.25,4.67,0.94,2.27,0.96,2.43,1,3.7,1.11,0.82,0.62,0.04
She turned his head,3,1.28,4.27,0.84,4.1,1.26,3.23,0.94,3.8,1.12,0.97,0.76,0.36
He turned the corner,3.27,1.44,3.97,1.34,4.1,1.3,2.93,1.19,1.93,0.96,0.32,0.22,0.14
He turned the tables,4.03,1.23,4.57,1.13,4.2,1.35,3.4,0.91,1.93,1.11,0.44,0.69,0.07
She twiddled her thumbs,4.2,0.96,4.9,0.31,4.23,1.22,1.87,1.04,1.43,0.9,0.4,0.64,0.89
He twisted his arm,3.9,1.12,4.7,0.6,4.57,0.97,2.33,1.21,1.87,0.78,0.46,0.69,0.21
She used her head,4.47,0.86,4.77,0.4,3.9,1.43,3.11,1.11,4.07,0.95,0.86,0.88,0.29
He used his head,4.57,1.01,4.9,0.68,3.5,1.21,3.13,1.37,4.3,0.87,0.9,0.86,0.14
He wagged his tongue,2.57,1.25,3.5,1.5,3.7,1.44,2.23,1.1,4.43,0.77,0.71,0.65,0.04
He walked a tight-rope,3.23,1.48,4.5,1.48,4.23,0.92,2.07,0.8,2.73,1.42,0.52,0.12,0.04
She walked on air,3.37,1.07,4.63,0.56,1.77,1.28,1.76,0.99,2.28,1.1,0.26,0.29,0.36
He walked on sunshine,2.93,1.19,4.03,0.78,1.33,1.17,1.67,1.01,2.9,1.14,0.37,0.21,0
They weathered the storm,3.8,1.13,4.5,0.97,1.67,1.06,2.34,1.2,3.41,1.02,0.89,0.5,0.75
She went to town,3.77,1.25,4.3,1.06,4.6,0.77,1.6,0.81,1.73,0.83,0.15,0.5,0.21
He won the day,2.37,1.19,3,1.36,1.3,0.65,4.8,0.61,2.27,0.98,0.64,0.7,0
She wore the trousers,3,1.41,4.27,1.28,4.5,1.07,2.07,1.17,2.23,1.25,0.32,0.3,0
She worked off steam,3.73,1.17,4.4,1.13,2,1.08,2.97,1.3,2.52,1.21,0.51,0.67,0.14
