Expression,Unknown,Mean_C,SD_C,N,Min,Max
a shrinking violet,3,2,1.3333333333333333,10,1,5
a sight for sore eyes,0,2.090909090909091,1.4459976109624424,11,1,5
a silver spoon in your mouth,0,1.6666666666666667,1.0730867399773196,12,1,4
a single,1,2.8181818181818183,1.2504544628399563,11,1,5
a skeleton in the closet,0,1.2,0.4216370213557839,10,1,2
a slap in the face,0,2.5,1.509230856356236,10,1,5
a slap on the wrist,0,2.8181818181818183,1.5374122295716148,11,1,5
a sledgehammer to crack a nut,1,2.8,1.7511900715418263,10,1,5
a sleeping partner,0,3.1,0.8755950357709131,10,2,5
a slice of heaven,0,1.5454545454545454,1.2135597524338357,11,1,5
a slice of the cake,0,3.4,1.6465452046971292,10,1,5
a slip of the tongue,1,2,1.4907119849998598,10,1,5
a smart cookie,0,2.25,1.5447859516333116,12,1,5
a smokescreen,1,2.4,1.429840705968481,10,1,5
a smooth landing,0,2.4,1.3498971154211057,10,1,5
a snake in the grass,0,2.4545454545454546,1.572490786213793,11,1,5
a snap decision,0,2.3529411764705883,1.1147408034263075,17,1,4
a social butterfly,0,2,1.4142135623730951,11,1,5
a soft answer turneth away wrath,4,1.7,1.3374935098492586,10,1,5
a sore point,0,1.8666666666666667,1.3020130933435712,15,1,5
a sore spot,1,2.823529411764706,1.1850788010532811,17,1,5
a sorry sight,0,2.2,1.5491933384829668,10,1,5
a sorry state of affairs,0,2.1,1.3703203194062976,10,1,5
a sport,0,3.3,1.2516655570345725,10,1,5
a square peg in a round hole,0,1.6,1.2649110640673518,10,1,5
a stitch in time saves nine,0,1.6,1.2649110640673518,10,1,5
a stone's throw,0,2.4166666666666665,1.4433756729740645,12,1,5
a stone's throw away,0,2.727272727272727,1.4893561757289013,11,1,5
a stool pigeon,7,2.9375,1.3889444433333777,16,1,5
a storm is brewing,0,1.9090909090909092,1.044465935734187,11,1,4
a stretch,0,2.4545454545454546,1.0357254813546264,11,1,4
a student,1,3.9,1.3703203194062976,10,1,5
a stumbling block,0,2.8,1.5491933384829668,10,1,5
a tall order,0,2.1,1.286683937707919,10,1,4
a tall story,1,1.8,1.0327955589886444,10,1,4
a tall tale,2,1.9166666666666667,0.9962049198956219,12,1,4
a target on someone's back,0,2.090909090909091,1.3751033019046572,11,1,5
a taste of one's own medicine,0,1.2222222222222223,0.5483188805533162,18,1,3
a taste of your own medicine,0,2.090909090909091,1.300349603340998,11,1,5
a thin line,0,3,1,11,1,4
a thing of beauty is a joy forever,0,2.4,1.505545305418162,10,1,5
a thing or two,0,2.727272727272727,1.555050423035156,11,1,5
a thorn in my flesh,0,2.4166666666666665,1.378954368902449,12,1,5
a thorn in your flesh,1,3.2,1.4757295747452437,10,1,5
a thorn in your side,0,1.9,1.3703203194062976,10,1,5
a tinker's damn,16,2.1666666666666665,1.2673044646258476,12,1,5
a to z,0,2,1.0540925533894598,10,1,4
a to-do,0,3.1818181818181817,1.3280197150781925,11,1,5
a ton,0,3.8,1.3165611772087666,10,1,5
a tongue-lashing,1,2.0625,1.3400870618483463,16,1,5
a toss up,0,2,1.247219128924647,10,1,4
a touch,0,3.4,1.2649110640673518,10,2,5
a touch of,0,2.4,0.9660917830792959,10,1,4
a tough cookie,0,1.4,0.699205898780101,10,1,3
a tower of strength,0,2.7,1.70293863659264,10,1,5
a treat,0,2.6,1.2649110640673518,10,1,5
a trifle,1,2.4,1.2649110640673518,10,1,5
a trouble shared is a trouble halved,1,2,1.2649110640673518,11,1,4
a trying time,1,2.1,0.8755950357709131,10,1,4
a turn for the worse,0,2.5,1.35400640077266,10,1,5
a turn up for the books,7,1.2,0.4216370213557839,10,1,2
a variety of,0,1.9090909090909092,0.9438798074485389,11,1,3
a volunteer is worth twenty pressed men,3,1.7,1.0593499054713802,10,1,4
a watched pot never boils,0,2.4,1.577621275493231,10,1,5
a week from next tuesday,0,2.8,1.4757295747452437,10,1,5
a weight off your shoulders,1,2.4,1.1737877907772674,10,1,4
a whale of a time,0,1.9,1.1005049346146119,10,1,4
a while,0,2.4,1.2649110640673518,10,1,4
a white lie,1,1.7,0.8232726023485646,10,1,3
a whole lot,0,2.3,1.3374935098492586,10,1,5
