"","Participant","Survey","Platform","File_date","Thirty_plus","Incomplete","Do_not_know","Correlation","Exclude","RPS_ID","Prolific_ID","Gender","Gender_Self_Describe","Age","Ed_years","Uni_years","Ed_years_calc","English_first","English_fluent"
"1561","R_AKBxnDIj3fC9eQp","List 7","Mturk","31-Jan-20",FALSE,0.00227272727272727,0,0.077189328352709,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1562","R_3ESd2S13lFQz2OW","List 7","Mturk","31-Jan-20",FALSE,0.00454545454545455,0,-0.389692625931491,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1563","R_0iY3EI8fWTpqe9r","List 7","Mturk","31-Jan-20",FALSE,0,0,0.588119215812711,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1564","R_50CHT5EwDjd7ZyV","List 7","Mturk","31-Jan-20",FALSE,0,0.0772727272727273,0.842447079610161,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1565","R_A4CukVELppUlBOV","List 7","Mturk","31-Jan-20",FALSE,0.00227272727272727,0.0204545454545455,-0.37022946898297,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1566","R_s4DHaLBxtmRQNsB","List 7","Mturk","31-Jan-20",FALSE,0,0.147727272727273,0.863589401075657,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1567","R_1LA8C4Fc2uFhVOZ","List 7","Mturk","31-Jan-20",FALSE,0,0.075,0.898602978521062,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1568","R_9M20Vyr1u6tu3pD","List 7","Mturk","31-Jan-20",FALSE,0,0.0772727272727273,0.857058710280197,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1569","R_WpJFglaYxb7yLe1","List 7","Mturk","31-Jan-20",FALSE,0,0.0136363636363636,0.664353051635006,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1570","R_1JUv5FvjtoEvlf9","List 7","Mturk","31-Jan-20",FALSE,0,0.120454545454545,0.880846201708465,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1571","R_1fcGJ1AsKTr2BrQ","List 7","Mturk","31-Jan-20",FALSE,0.0204545454545455,0.252272727272727,-0.323106591625409,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1572","R_3RkMylzDjcFkQxs","List 7","Mturk","31-Jan-20",FALSE,0,0.0227272727272727,0.936695750848857,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1573","R_3G7Ivb0pPZw7skA","List 7","Mturk","31-Jan-20",FALSE,0,0,0.565752119650189,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1574","R_O0vzrXgJbBGq0ox","List 7","Mturk","31-Jan-20",FALSE,0,0.0865603644646925,0.848309831799459,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1575","R_12RMhjMN9gijQ8C","List 7","Mturk","31-Jan-20",FALSE,0,0.104783599088838,0.334677117417014,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1576","R_3rSVjFgggL7NDBF","List 7","Mturk","31-Jan-20",FALSE,0,0.14123006833713,0.848557476544342,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1577","R_2wdHLYZQrnOhFN3","List 7","Mturk","31-Jan-20",FALSE,0,0.0204545454545455,-0.0640335514490546,TRUE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1578","R_1Ed6I0qbll7xvZy","List 7","Mturk","31-Jan-20",FALSE,0.00454545454545455,0,0.215580305363212,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
