Expression,Type
two for one,Idiom/Fixed expression
two for two,Idiom/Fixed expression
two heads are better than one,Idiom/Fixed expression
"two is company, but three's a crowd",Idiom/Fixed expression
two left feet,Idiom/Fixed expression
two lovebirds,Idiom/Fixed expression
two o'clock,Idiom/Fixed expression
two of a kind,Idiom/Fixed expression
turn about,Idiom/Fixed expression
two peas in a pod,Idiom/Fixed expression
two pence,Idiom/Fixed expression
two pence piece,Idiom/Fixed expression
two pennies' worth,Idiom/Fixed expression
two piece,Idiom/Fixed expression
two pot screamer,Idiom/Fixed expression
two sides of the same coin,Idiom/Fixed expression
two sides to every question,Idiom/Fixed expression
two sides to every story,Idiom/Fixed expression
two sitter sofa,Compound noun
two thirds,Idiom/Fixed expression
two thumbs up,Idiom/Fixed expression
two weeks,Idiom/Fixed expression
two wrongs don't make a right,Idiom/Fixed expression
two-edged sword,Idiom/Fixed expression
two-faced,Idiom/Fixed expression
two-fisted attack,Idiom/Fixed expression
two-fisted drinker,Idiom/Fixed expression
two-grain spelt,Compound noun
two-handed saw,Compound noun
two-man saw,Compound noun
two-man tent,Compound noun
two-note call,Compound noun
two-point perspective,Idiom/Fixed expression
two-second rule,Idiom/Fixed expression
two-time,Idiom/Fixed expression
throttle down,Particle verb
"two's company, three's a crowd",Idiom/Fixed expression
tying up,Particle verb
tying up loose ends,Idiom/Fixed expression
Typhoid Mary,Idiom/Fixed expression
tyranny of the majority,Idiom/Fixed expression
Ugly American,Idiom/Fixed expression
ugly as sin,Idiom/Fixed expression
ugly duckling,Idiom/Fixed expression
uh huh,Idiom/Fixed expression
uh-huh,Idiom/Fixed expression
uh-oh,Idiom/Fixed expression
uh-uh,Idiom/Fixed expression
ultima Thule,Compound noun
ultimate fighting,Compound noun
ultimate frisbee,Compound noun
um and ah,Idiom/Fixed expression
un-american,Idiom/Fixed expression
unacceptable face of,Idiom/Fixed expression
unburden yourself,Idiom/Fixed expression
uncalled for,Idiom/Fixed expression
uncared for,Idiom/Fixed expression
uncharted water,Idiom/Fixed expression
uncharted waters,Idiom/Fixed expression
Uncle Joe,Idiom/Fixed expression
Uncle Sam,Idiom/Fixed expression
Uncle Tom,Idiom/Fixed expression
under a cloud,Idiom/Fixed expression
under a spell,Idiom/Fixed expression
under age,Idiom/Fixed expression
under arrest,Idiom/Fixed expression
under attack,Idiom/Fixed expression
under circumstances,Idiom/Fixed expression
under close scrutiny,Idiom/Fixed expression
under fire,Idiom/Fixed expression
under glass,Idiom/Fixed expression
under his own steam,Idiom/Fixed expression
under house arrest,Idiom/Fixed expression
under lock and key,Idiom/Fixed expression
under no circumstance,Idiom/Fixed expression
under no circumstances,Idiom/Fixed expression
under oath,Idiom/Fixed expression
under one's belt,Idiom/Fixed expression
under one's breath,Idiom/Fixed expression
under one's feet,Idiom/Fixed expression
under one's hat,Idiom/Fixed expression
under one's nose,Idiom/Fixed expression
under one's own steam,Idiom/Fixed expression
under one's skin,Idiom/Fixed expression
under pressure,Idiom/Fixed expression
under protest,Idiom/Fixed expression
under sail,Idiom/Fixed expression
under scrutiny,Idiom/Fixed expression
under secretary,Idiom/Fixed expression
under someone's care,Idiom/Fixed expression
under someone's thumb,Idiom/Fixed expression
under someone's wing,Idiom/Fixed expression
under the aegis of,Idiom/Fixed expression
under the auspices of,Idiom/Fixed expression
under the carpet,Idiom/Fixed expression
under the circumstances,Idiom/Fixed expression
under the cosh,Idiom/Fixed expression
under the counter,Idiom/Fixed expression
stop over,Particle verb
under the gun,Idiom/Fixed expression
under the hammer,Idiom/Fixed expression
under the impression,Idiom/Fixed expression
under the influence,Idiom/Fixed expression
under the knife,Idiom/Fixed expression
under the microscope,Idiom/Fixed expression
under the pump,Idiom/Fixed expression
under the radar,Idiom/Fixed expression
under the rug,Idiom/Fixed expression
under the sun,Idiom/Fixed expression
under the table,Idiom/Fixed expression
under the thumb,Idiom/Fixed expression
under the tutelage of,Idiom/Fixed expression
under the weather,Idiom/Fixed expression
under the wire,Idiom/Fixed expression
under the yoke,Idiom/Fixed expression
under these circumstances,Idiom/Fixed expression
under tutelage,Idiom/Fixed expression
under warranty,Idiom/Fixed expression
under water,Idiom/Fixed expression
under way,Idiom/Fixed expression
under wraps,Idiom/Fixed expression
under your breath,Idiom/Fixed expression
under your nose,Idiom/Fixed expression
under your own steam,Idiom/Fixed expression
under your thumb,Idiom/Fixed expression
stretch over,Particle verb
sweep over,Particle verb
switch over,Particle verb
underdog,Idiom/Fixed expression
undergo a change,Idiom/Fixed expression
undergo a facelift,Idiom/Fixed expression
uneasy lies the head that wears a crown,Idiom/Fixed expression
unfinished business,Idiom/Fixed expression
union jack,Idiom/Fixed expression
university of life,Idiom/Fixed expression
university of the third age,Idiom/Fixed expression
unkindest cut of all,Idiom/Fixed expression
unlucky in love,Idiom/Fixed expression
unsung hero,Idiom/Fixed expression
unsung heroes,Idiom/Fixed expression
take over,Particle verb
until now,Idiom/Fixed expression
until one is blue in the face,Idiom/Fixed expression
until the cows come home,Idiom/Fixed expression
until you are blue in the face,Idiom/Fixed expression
unvarnished truth,Idiom/Fixed expression
unwashed masses,Idiom/Fixed expression
unwelcome guest,Compound noun
unwritten law,Idiom/Fixed expression
up a blind alley,Idiom/Fixed expression
up a gum tree,Idiom/Fixed expression
up a storm,Idiom/Fixed expression
up a tree,Idiom/Fixed expression
up against,Particle verb
up against it,Idiom/Fixed expression
stand out,Particle verb
up and coming,Idiom/Fixed expression
throw down,Particle verb
up and run,Idiom/Fixed expression
up and running,Idiom/Fixed expression
up for,Particle verb
up for grabs,Idiom/Fixed expression
up for sale,Idiom/Fixed expression
up front,Idiom/Fixed expression
up here,Idiom/Fixed expression
thrust down,Particle verb
up in arms,Idiom/Fixed expression
up in smoke,Idiom/Fixed expression
up in the air,Idiom/Fixed expression
up on,Particle verb
up one's alley,Idiom/Fixed expression
up one's sleeve,Idiom/Fixed expression
stare out,Particle verb
up quark,Compound noun
up someone's alley,Idiom/Fixed expression
up someone's street,Idiom/Fixed expression
up the ante,Idiom/Fixed expression
up the apples and pears,Idiom/Fixed expression
up the country people,Idiom/Fixed expression
up the creek,Idiom/Fixed expression
up the duff,Idiom/Fixed expression
up the pole,Idiom/Fixed expression
up the river,Idiom/Fixed expression
up the stairs,Idiom/Fixed expression
up the wahoozey,Idiom/Fixed expression
up the wall,Idiom/Fixed expression
up the walls,Idiom/Fixed expression
up the wazoo,Idiom/Fixed expression
up the ying yang,Idiom/Fixed expression
up there,Idiom/Fixed expression
up to,Particle verb
up to bat,Idiom/Fixed expression
up to date,Idiom/Fixed expression
up to eleven,Idiom/Fixed expression
up to her neck,Idiom/Fixed expression
up to here,Idiom/Fixed expression
up to his neck,Idiom/Fixed expression
up to it,Idiom/Fixed expression
up to my ears,Idiom/Fixed expression
up to my neck,Idiom/Fixed expression
up to no good,Idiom/Fixed expression
up to now,Idiom/Fixed expression
up to our necks,Idiom/Fixed expression
up to par,Idiom/Fixed expression
up to scratch,Idiom/Fixed expression
up to snuff,Idiom/Fixed expression
up to somebody,Idiom/Fixed expression
up to something,Idiom/Fixed expression
up to speed,Idiom/Fixed expression
up to standard,Idiom/Fixed expression
up to the hilt,Idiom/Fixed expression
up to the mark,Idiom/Fixed expression
up to the minute,Idiom/Fixed expression
up to their necks,Idiom/Fixed expression
up to your ears,Idiom/Fixed expression
up to your eyeballs,Idiom/Fixed expression
up to your eyes,Idiom/Fixed expression
up to your neck,Idiom/Fixed expression
up until,Idiom/Fixed expression
there are more ways of killing a cat than choking it with cream,Idiom/Fixed expression
think with one's little head,Idiom/Fixed expression
those who sleep with dogs will rise with fleas,Idiom/Fixed expression
up your alley,Idiom/Fixed expression
up yours,Idiom/Fixed expression
up-and-comer,Idiom/Fixed expression
up-and-coming,Idiom/Fixed expression
up-to-date,Idiom/Fixed expression
up-to-the-minute,Idiom/Fixed expression
uphill battle,Idiom/Fixed expression
uphill struggle,Idiom/Fixed expression
uphill task,Idiom/Fixed expression
upon my word,Idiom/Fixed expression
upon one's speed,Idiom/Fixed expression
upon the heels of,Idiom/Fixed expression
upper side,Compound noun
ups a daisy,Idiom/Fixed expression
thumbs down,Particle verb
ups-a-daisy,Idiom/Fixed expression
upset price,Compound noun
upset the apple cart,Idiom/Fixed expression
upset the applecart,Idiom/Fixed expression
us versus them,Idiom/Fixed expression
use a sledgehammer to crack a nut,Idiom/Fixed expression
use it or lose it,Idiom/Fixed expression
use of goods and services,Idiom/Fixed expression
use one's head,Idiom/Fixed expression
use one's noggin,Idiom/Fixed expression
use one's noodle,Idiom/Fixed expression
use someone as a punching bag,Idiom/Fixed expression
use to,Idiom/Fixed expression
use up,Particle verb
use your loaf,Idiom/Fixed expression
use your noodle,Idiom/Fixed expression
used not to,Idiom/Fixed expression
used to,Particle verb
used to be,Idiom/Fixed expression
useful as a chocolate teapot,Idiom/Fixed expression
usher away,Idiom/Fixed expression
usher in,Particle verb
take off,Particle verb
ushering in,Idiom/Fixed expression
using a sledgehammer to crack a nut,Idiom/Fixed expression
using up,Particle verb
vale of tears,Idiom/Fixed expression
valley girl,Idiom/Fixed expression
valley of death,Idiom/Fixed expression
valley of the shadow of death,Idiom/Fixed expression
vamp up,Particle verb
van pool,Compound noun
van surfing,Compound noun
vandyke beard,Compound noun
vanish into thin air,Idiom/Fixed expression
variety is the spice of life,Idiom/Fixed expression
tear off,Particle verb
start out,Particle verb
starve out,Particle verb
victory at sea,Idiom/Fixed expression
victory lap,Idiom/Fixed expression
virtue is her own reward,Idiom/Fixed expression
virtue is its own reward,Idiom/Fixed expression
vis comica,Idiom/Fixed expression
visit a spell,Idiom/Fixed expression
visit the ladies' room,Idiom/Fixed expression
vive la difference,Idiom/Fixed expression
vive la différence,Idiom/Fixed expression
voice in the wilderness,Idiom/Fixed expression
Voice of America,Idiom/Fixed expression
voice of conscience,Idiom/Fixed expression
voodoo doll,Compound noun
vote a split ticket,Idiom/Fixed expression
through with,Idiom/Fixed expression
throw in with,Particle verb
wad up,Particle verb
wade in,Particle verb
wade into,Particle verb
wade through,Particle verb
wage freeze,Compound noun
wage hike,Compound noun
wage increase,Compound noun
wage slave,Idiom/Fixed expression
wages of sin,Idiom/Fixed expression
waifs and strays,Idiom/Fixed expression
wail on,Particle verb
wait a cotton picking minute,Idiom/Fixed expression
wait a minute,Idiom/Fixed expression
wait a sec,Idiom/Fixed expression
stay out,Particle verb
wait and see,Idiom/Fixed expression
tie in with,Particle verb
wait behind,Particle verb
wait for,Particle verb
wait for it,Idiom/Fixed expression
wait for the ball to drop,Idiom/Fixed expression
wait for the cat to jump,Idiom/Fixed expression
wait for the other shoe to drop,Idiom/Fixed expression
wait for your ship to come in,Idiom/Fixed expression
wait in,Particle verb
wait list,Compound noun
wait on,Particle verb
wait on customers,Idiom/Fixed expression
wait on hand and foot,Idiom/Fixed expression
"wait on hand, foot and finger",Idiom/Fixed expression
wait on someone hand and foot,Idiom/Fixed expression
"wait on someone hand, foot and finger",Idiom/Fixed expression
wait on tables,Idiom/Fixed expression
wait on you hand and foot,Idiom/Fixed expression
steal out,Particle verb
wait state,Compound noun
wait till,Idiom/Fixed expression
wait until,Idiom/Fixed expression
wait up,Idiom/Fixed expression
wait up for,Idiom/Fixed expression
wait up!,Idiom/Fixed expression
wait upon,Particle verb
wait upon hand and foot,Idiom/Fixed expression
tie up with,Particle verb
waited on hand and foot,Idiom/Fixed expression
waiter's friend,Compound noun
waiting area,Compound noun
waiting for a raindrop in the drought,Idiom/Fixed expression
waiting game,Idiom/Fixed expression
waiting in the wings,Idiom/Fixed expression
waiting list,Compound noun
waiting move,Compound noun
waiting staff,Compound noun
wake up,Particle verb
wake up and die right,Idiom/Fixed expression
tell off,Particle verb
wake up call,Idiom/Fixed expression
wake up on the wrong side of bed,Idiom/Fixed expression
wake up on the wrong side of the bed,Idiom/Fixed expression
wake up to,Idiom/Fixed expression
to begin with,Idiom/Fixed expression
wake-up call,Idiom/Fixed expression
wake-up signal,Idiom/Fixed expression
waken up,Idiom/Fixed expression
waking up,Idiom/Fixed expression
walk a mile in someone's shoes,Idiom/Fixed expression
walk a straight line,Idiom/Fixed expression
walk a tightrope,Idiom/Fixed expression
step out,Particle verb
walk against,Particle verb
taken over,Particle verb
talk over,Particle verb
walk and chew gum,Idiom/Fixed expression
walk and chew gum at the same time,Idiom/Fixed expression
turn around and leave,Idiom/Fixed expression
walk away,Idiom/Fixed expression
walk away from,Idiom/Fixed expression
to carry a lot of weight with someone,Idiom/Fixed expression
walk back,Particle verb
walk back from,Idiom/Fixed expression
walk by,Particle verb
tone down,Particle verb
walk free,Idiom/Fixed expression
walk in,Particle verb
be in on,Particle verb
walk in the park,Idiom/Fixed expression
walk in the snow,Idiom/Fixed expression
walk into,Particle verb
walk into lion's den,Idiom/Fixed expression
telling off,Particle verb
walk of life,Idiom/Fixed expression
tempt off,Particle verb
throw off,Particle verb
tick off,Particle verb
walk on,Particle verb
walk on air,Idiom/Fixed expression
walk on eggshells,Idiom/Fixed expression
walk on the wild side,Idiom/Fixed expression
walk on water,Idiom/Fixed expression
turn about is fair play,Idiom/Fixed expression
stick out,Particle verb
sticking out,Particle verb
stink out,Particle verb
think over,Particle verb
walk right into,Idiom/Fixed expression
walk the dog,Idiom/Fixed expression
walk the line,Idiom/Fixed expression
walk the plank,Idiom/Fixed expression
walk the talk,Idiom/Fixed expression
walk the walk,Idiom/Fixed expression
walk through,Idiom/Fixed expression
walk up,Particle verb
walk up to,Idiom/Fixed expression
walk-in,Idiom/Fixed expression
walk-on part,Compound noun
walk-up,Compound noun
walk-up apartment,Compound noun
walk-up price,Compound noun
walking encyclopedia,Idiom/Fixed expression
walking leaf,Compound noun
walking on air,Idiom/Fixed expression
walking on broken glass,Idiom/Fixed expression
walks of life,Idiom/Fixed expression
wall cladding,Compound noun
wall creeper,Compound noun
wall humping,Idiom/Fixed expression
wall in,Particle verb
wall of silence,Idiom/Fixed expression
ticked off,Particle verb
Wall Street Crash,Idiom/Fixed expression
wall up,Particle verb
wallflower,Idiom/Fixed expression
wallow in the mire,Idiom/Fixed expression
walls have ears,Idiom/Fixed expression
walnuts and pears you plant for your heirs,Idiom/Fixed expression
walter mitty,Idiom/Fixed expression
ticking off,Particle verb
tie off,Particle verb
waltz through,Idiom/Fixed expression
turn you around,Idiom/Fixed expression
tip off,Particle verb
want a piece of me,Idiom/Fixed expression
want a piece of the action,Idiom/Fixed expression
want back,Particle verb
want for,Particle verb
want from,Particle verb
want in,Particle verb
want into,Particle verb
want it so bad I can taste it,Idiom/Fixed expression
stomp out,Particle verb
stop out,Particle verb
want someone's head on a platter,Idiom/Fixed expression
want to,Particle verb
want to make something of it,Idiom/Fixed expression
wanted notice,Compound noun
wanted poster,Compound noun
wanton away,Particle verb
war and peace,Idiom/Fixed expression
war baby,Idiom/Fixed expression
war bonnet,Compound noun
war bride,Idiom/Fixed expression
war chest,Idiom/Fixed expression
war cloud,Idiom/Fixed expression
war god,Compound noun
war of nerves,Idiom/Fixed expression
war of words,Idiom/Fixed expression
war on,Particle verb
war paint,Idiom/Fixed expression
war party,Compound noun
toddle off,Particle verb
wardrobe mistress,Compound noun
warm fuzzies,Idiom/Fixed expression
warm fuzzy,Idiom/Fixed expression
warm glow,Idiom/Fixed expression
warm hearted,Idiom/Fixed expression
warm milk,Compound noun
warm place,Idiom/Fixed expression
warm regards,Idiom/Fixed expression
warm smile,Compound noun
warm spot,Idiom/Fixed expression
warm summer,Compound noun
warm the bench,Idiom/Fixed expression
warm the cockles of someone's heart,Idiom/Fixed expression
warm through,Particle verb
warm to,Particle verb
warm towards,Particle verb
warm up,Particle verb
warm welcome,Idiom/Fixed expression
warm-hearted,Idiom/Fixed expression
throw over,Particle verb
tick over,Particle verb
warming center,Compound noun
tootle off,Particle verb
warts and all,Idiom/Fixed expression
wary of,Particle verb
was to,Particle verb
wash away,Idiom/Fixed expression
topple down,Particle verb
toss down,Particle verb
trace down,Particle verb
top off,Particle verb
wash leather,Compound noun
torque off,Particle verb
wash one's dirty linen in public,Idiom/Fixed expression
wash one's hands,Idiom/Fixed expression
wash one's hands of,Idiom/Fixed expression
storm out,Particle verb
topple over,Particle verb
wash up,Particle verb
to cast one's lot with,Idiom/Fixed expression
wash your dirty laundry in public,Idiom/Fixed expression
wash your dirty linen in public,Idiom/Fixed expression
wash your hands of,Idiom/Fixed expression
wash your hands of it,Idiom/Fixed expression
straighten out,Particle verb
wash-hand basin,Compound noun
wash-hand stand,Compound noun
stream out,Particle verb
washed up,Particle verb
stretch out,Particle verb
washed-up,Idiom/Fixed expression
washing day,Compound noun
washing up,Particle verb
wasn't born yesterday,Idiom/Fixed expression
waste matter,Compound noun
waste money,Compound noun
"waste not, want not",Idiom/Fixed expression
waste of effort,Idiom/Fixed expression
waste of energy,Idiom/Fixed expression
waste of material,Idiom/Fixed expression
waste of money,Idiom/Fixed expression
waste of time,Idiom/Fixed expression
waste one's breath,Idiom/Fixed expression
waste one's time,Idiom/Fixed expression
waste time,Idiom/Fixed expression
waste your breath,Idiom/Fixed expression
wasting away,Idiom/Fixed expression
wasting disease,Compound noun
watch it,Particle verb
watch like a hawk,Idiom/Fixed expression
torqued off,Particle verb
stretched out,Particle verb
watch one's step,Idiom/Fixed expression
stride out,Particle verb
toy over,Particle verb
watch paint dry,Idiom/Fixed expression
watch pocket,Compound noun
watch someone like a hawk,Idiom/Fixed expression
watch strap,Compound noun
watch the birdie,Idiom/Fixed expression
watch the world go by,Idiom/Fixed expression
watch this space,Idiom/Fixed expression
watch tower,Compound noun
watch your back,Idiom/Fixed expression
watch your butt,Idiom/Fixed expression
watch your every move,Idiom/Fixed expression
watch your language,Idiom/Fixed expression
watch your p's and q's,Idiom/Fixed expression
watch your step,Idiom/Fixed expression
watch your tongue,Idiom/Fixed expression
watched pot never boils,Idiom/Fixed expression
water butt,Compound noun
water nymph,Compound noun
water of crystallization,Idiom/Fixed expression
toss off,Particle verb
water on the knee,Idiom/Fixed expression
water opossum,Compound noun
tremble over,Particle verb
water to one's mill,Idiom/Fixed expression
water under the bridge,Idiom/Fixed expression
water witch,Compound noun
water-cooler talk,Idiom/Fixed expression
wattle and daub,Idiom/Fixed expression
wave a dead chicken,Idiom/Fixed expression
wave a red rag to a bull,Idiom/Fixed expression
wave and pay,Idiom/Fixed expression
wave away,Particle verb
tramp down,Particle verb
wave of the future,Idiom/Fixed expression
wave of the hand,Idiom/Fixed expression
touch off,Particle verb
wave on,Particle verb
strike out,Particle verb
way back when,Idiom/Fixed expression
way cool,Idiom/Fixed expression
way of life,Idiom/Fixed expression
trace off,Particle verb
string out,Particle verb
strip out,Particle verb
way round,Particle verb
way station,Compound noun
way to a man's heart is through his stomach,Idiom/Fixed expression
way to go,Idiom/Fixed expression
to check with someone,Idiom/Fixed expression
strung out,Particle verb
ways and means,Idiom/Fixed expression
ways and means committee,Idiom/Fixed expression
ways and means of,Idiom/Fixed expression
we are not amused,Idiom/Fixed expression
we have seen better days,Idiom/Fixed expression
we haven't got all day,Idiom/Fixed expression
we know where you live,Idiom/Fixed expression
we'll cross that bridge when we come to it,Idiom/Fixed expression
weak heart,Compound noun
weak point,Compound noun
weak points,Compound noun
weak side,Compound noun
weak sister,Idiom/Fixed expression
weak smile,Compound noun
weak spot,Compound noun
weak tea,Idiom/Fixed expression
weak voice,Compound noun
weak willed,Compound noun
weak-kneed,Idiom/Fixed expression
weaker sex,Idiom/Fixed expression
weaker vessel,Idiom/Fixed expression
weakest link,Idiom/Fixed expression
weal and woe,Idiom/Fixed expression
wealth of experience,Idiom/Fixed expression
wealth of knowledge,Idiom/Fixed expression
wealth of material,Idiom/Fixed expression
wealthy man,Compound noun
wealthy person,Compound noun
wean from,Particle verb
trail off,Particle verb
wean on,Particle verb
weapons of mass destruction,Idiom/Fixed expression
wear a stormy brow,Idiom/Fixed expression
wear and tear,Idiom/Fixed expression
wear away,Particle verb
tread down,Particle verb
wear in,Particle verb
wear many hats,Idiom/Fixed expression
wear more than one hat,Idiom/Fixed expression
trailed off,Particle verb
wear on,Particle verb
wear on someone,Idiom/Fixed expression
wear one's heart on one's sleeve,Idiom/Fixed expression
wear one's heart on their sleeve,Idiom/Fixed expression
stub out,Particle verb
suss out,Particle verb
turnabout is fair play,Idiom/Fixed expression
wear rose-colored glasses,Idiom/Fixed expression
wear round,Particle verb
wear several hats,Idiom/Fixed expression
wear ship,Idiom/Fixed expression
wear something as a badge of honor,Idiom/Fixed expression
wear the pants,Idiom/Fixed expression
wear the trousers,Idiom/Fixed expression
wear thin,Idiom/Fixed expression
wear through,Idiom/Fixed expression
wear too many hats,Idiom/Fixed expression
wear upon,Particle verb
wear your heart on your sleeve,Idiom/Fixed expression
wearing apparel,Compound noun
wearing away,Idiom/Fixed expression
wearing of the green,Idiom/Fixed expression
weasel clause,Idiom/Fixed expression
weasel into,Particle verb
swap out,Particle verb
swear out,Particle verb
weasel word,Idiom/Fixed expression
weasel words,Idiom/Fixed expression
weather the storm,Idiom/Fixed expression
weave into,Particle verb
sweat out,Particle verb
wedded bliss,Idiom/Fixed expression
wedded to,Idiom/Fixed expression
wee free,Idiom/Fixed expression
wee hours,Idiom/Fixed expression
wee small hours,Idiom/Fixed expression
wee small voice,Idiom/Fixed expression
wee-wee,Idiom/Fixed expression
week is a long time in politics,Idiom/Fixed expression
weekend warrior,Idiom/Fixed expression
weeping and wailing and gnashing of teeth,Idiom/Fixed expression
weeping beech,Compound noun
weeping willow,Compound noun
weigh a ton,Idiom/Fixed expression
weigh against,Particle verb
weigh anchor,Idiom/Fixed expression
trickle down,Particle verb
trim down,Particle verb
weigh in at,Idiom/Fixed expression
butt in on,Particle verb
to die with your boots on,Idiom/Fixed expression
weigh into,Particle verb
weigh on,Particle verb
sweep out,Particle verb
weigh pros and cons,Idiom/Fixed expression
weigh station,Compound noun
weigh the anchor,Idiom/Fixed expression
weigh up,Particle verb
weigh your options,Idiom/Fixed expression
weigh your words,Idiom/Fixed expression
trust down,Particle verb
weighed in the balance and found wanting,Idiom/Fixed expression
trigger off,Particle verb
weird and wonderful,Idiom/Fixed expression
trim off,Particle verb
swell out,Particle verb
weirdo,Idiom/Fixed expression
to do with,Idiom/Fixed expression
welcome to the club,Idiom/Fixed expression
welcome wagon,Idiom/Fixed expression
well ain't that the catfish in the trap,Idiom/Fixed expression
well alone,Idiom/Fixed expression
well and good,Idiom/Fixed expression
well and truly,Idiom/Fixed expression
well appointed,Idiom/Fixed expression
well argued,Idiom/Fixed expression
well attended,Idiom/Fixed expression
well balanced,Idiom/Fixed expression
well begun is half done,Idiom/Fixed expression
well behaved,Idiom/Fixed expression
well being,Compound noun
well born,Compound noun
well bred,Compound noun
well brought up,Idiom/Fixed expression
well built,Idiom/Fixed expression
well chosen,Idiom/Fixed expression
well connected,Idiom/Fixed expression
well cut,Idiom/Fixed expression
well deck,Idiom/Fixed expression
well defined,Idiom/Fixed expression
well developed,Idiom/Fixed expression
well disposed,Idiom/Fixed expression
well documented,Idiom/Fixed expression
well done,Idiom/Fixed expression
well dressed,Idiom/Fixed expression
well drink,Idiom/Fixed expression
well earned,Idiom/Fixed expression
well educated,Idiom/Fixed expression
well endowed,Idiom/Fixed expression
well enough,Idiom/Fixed expression
well established,Idiom/Fixed expression
well fed,Idiom/Fixed expression
well formed,Idiom/Fixed expression
well founded,Idiom/Fixed expression
well groomed,Idiom/Fixed expression
well grounded,Idiom/Fixed expression
well heeled,Idiom/Fixed expression
well hung,Idiom/Fixed expression
well in hand,Idiom/Fixed expression
well informed,Idiom/Fixed expression
well intentioned,Idiom/Fixed expression
well kept,Idiom/Fixed expression
well known,Idiom/Fixed expression
well liked,Idiom/Fixed expression
well lit,Idiom/Fixed expression
well made,Idiom/Fixed expression
well man clinic,Idiom/Fixed expression
well mannered,Idiom/Fixed expression
well matched,Idiom/Fixed expression
well meaning,Idiom/Fixed expression
well meant,Idiom/Fixed expression
well nigh,Idiom/Fixed expression
trot off,Particle verb
well oiled,Idiom/Fixed expression
trip over,Particle verb
well paid,Idiom/Fixed expression
well preserved,Idiom/Fixed expression
well put,Idiom/Fixed expression
well qualified,Idiom/Fixed expression
well read,Idiom/Fixed expression
well respected,Idiom/Fixed expression
well rounded,Idiom/Fixed expression
well run,Idiom/Fixed expression
well spent,Idiom/Fixed expression
well spoken,Idiom/Fixed expression
well taken,Idiom/Fixed expression
well thought of,Idiom/Fixed expression
swim out,Particle verb
well thumbed,Idiom/Fixed expression
well timed,Idiom/Fixed expression
well to do,Idiom/Fixed expression
well traveled,Idiom/Fixed expression
well travelled,Idiom/Fixed expression
well tried,Idiom/Fixed expression
well trodden,Idiom/Fixed expression
well trodden path,Idiom/Fixed expression
well turned,Idiom/Fixed expression
well up,Particle verb
well used,Idiom/Fixed expression
well versed,Idiom/Fixed expression
well water,Compound noun
well well,Idiom/Fixed expression
well wisher,Idiom/Fixed expression
well woman clinic,Idiom/Fixed expression
well worn,Idiom/Fixed expression
well worth it,Idiom/Fixed expression
well-advised,Compound noun
well-behaved,Compound noun
well-being,Compound noun
well-bred,Compound noun
well-defined,Compound noun
well-done,Idiom/Fixed expression
well-dressed,Compound noun
well-earned rest,Idiom/Fixed expression
well-groomed,Compound noun
well-heeled,Idiom/Fixed expression
well-informed,Compound noun
well-intentioned,Compound noun
well-known,Compound noun
well-meaning,Compound noun
turf off,Particle verb
well-oiled,Idiom/Fixed expression
well-padded,Idiom/Fixed expression
well-read,Compound noun
well-rounded,Compound noun
well-spoken,Compound noun
up and about,Idiom/Fixed expression
well-thought-of,Idiom/Fixed expression
well-to-do,Idiom/Fixed expression
well-wisher,Compound noun
"well, i never",Idiom/Fixed expression
"well, well",Idiom/Fixed expression
"well, well, well",Idiom/Fixed expression
wend your way,Idiom/Fixed expression
Wendy house,Idiom/Fixed expression
to hell with,Idiom/Fixed expression
went through the roof,Idiom/Fixed expression
went to bat for,Idiom/Fixed expression
went under,Particle verb
went well,Particle verb
went wild,Idiom/Fixed expression
were you born in a tent,Idiom/Fixed expression
wet bar,Compound noun
wet behind the ears,Idiom/Fixed expression
wet one's beak,Idiom/Fixed expression
wet one's pants,Idiom/Fixed expression
wet one's whistle,Idiom/Fixed expression
wet the baby's head,Idiom/Fixed expression
wet the bed,Idiom/Fixed expression
wet your whistle,Idiom/Fixed expression
swing-out,Particle verb
whacking great,Idiom/Fixed expression
whacky tobaccy,Idiom/Fixed expression
whale at,Particle verb
whale of a game,Idiom/Fixed expression
whale of a time,Idiom/Fixed expression
whale oil,Compound noun
whale on,Particle verb
whale sucker,Compound noun
whaling station,Compound noun
wham-bam-thank-you-ma'am,Idiom/Fixed expression
what a brain,Idiom/Fixed expression
what a cheek,Idiom/Fixed expression
what a dish,Idiom/Fixed expression
what a joke,Idiom/Fixed expression
what a lovely day,Idiom/Fixed expression
what a piece of work,Idiom/Fixed expression
what a pity,Idiom/Fixed expression
what a rigmarole,Idiom/Fixed expression
what a rush,Idiom/Fixed expression
route down,Particle verb
what all,Idiom/Fixed expression
"what am i, chopped liver",Idiom/Fixed expression
what are the odds,Idiom/Fixed expression
what are you doing,Idiom/Fixed expression
what are you like,Idiom/Fixed expression
What are you waiting for? Christmas?,Idiom/Fixed expression
what can I say,Idiom/Fixed expression
what can't be cured must be endured,Idiom/Fixed expression
what date is it today,Idiom/Fixed expression
what did your last slave die of,Idiom/Fixed expression
what do I know,Idiom/Fixed expression
what do you know,Idiom/Fixed expression
what do you mean,Idiom/Fixed expression
what do you say,Idiom/Fixed expression
what do you want,Idiom/Fixed expression
"what do you want, a medal",Idiom/Fixed expression
to start with,Idiom/Fixed expression
what does xx mean,Idiom/Fixed expression
what doesn't kill you makes you stronger,Idiom/Fixed expression
what else is new,Idiom/Fixed expression
take out,Particle verb
